EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,WS2020,WS2030,WS2040,WS2050,WS2060,WS2070
785,148,FLOWER MOUND,MUNICIPAL,C,DENTON,Y,CHAPMAN/COOPER LAKE/RESERVOIR NON-SYSTEM PORTION,2373,2373,1919,1586,1460,1312
785,148,FLOWER MOUND,MUNICIPAL,C,TARRANT,Y,CHAPMAN/COOPER LAKE/RESERVOIR NON-SYSTEM PORTION,8,7,6,5,4,4
785,279,FLOWER MOUND,MUNICIPAL,C,DENTON,Y,FORK LAKE/RESERVOIR,725,810,888,942,931,933
785,279,FLOWER MOUND,MUNICIPAL,C,TARRANT,Y,FORK LAKE/RESERVOIR,2,2,3,3,3,3
785,389,FLOWER MOUND,MUNICIPAL,C,DENTON,Y,SULPHUR INDIRECT REUSE,1045,1078,899,767,728,673
785,389,FLOWER MOUND,MUNICIPAL,C,TARRANT,Y,SULPHUR INDIRECT REUSE,3,3,3,2,2,2
785,390,FLOWER MOUND,MUNICIPAL,C,DENTON,Y,TRINITY INDIRECT REUSE,470,562,607,798,972,1090
785,390,FLOWER MOUND,MUNICIPAL,C,TARRANT,Y,TRINITY INDIRECT REUSE,2,2,2,2,3,3
785,648,FLOWER MOUND,MUNICIPAL,C,DENTON,Y,RAY HUBBARD LAKE/RESERVOIR,714,715,710,683,614,561
785,648,FLOWER MOUND,MUNICIPAL,C,TARRANT,Y,RAY HUBBARD LAKE/RESERVOIR,2,2,2,2,2,2
785,650,FLOWER MOUND,MUNICIPAL,C,DENTON,Y,RAY ROBERTS-LEWISVILLE-GRAPEVINE LAKE/RESERVOIR SYSTEM,8744,9248,7364,5938,5165,4468
785,650,FLOWER MOUND,MUNICIPAL,C,TARRANT,Y,RAY ROBERTS-LEWISVILLE-GRAPEVINE LAKE/RESERVOIR SYSTEM,29,28,21,17,16,13
785,738,FLOWER MOUND,MUNICIPAL,C,DENTON,Y,TAWAKONI LAKE/RESERVOIR,2518,2487,2429,2308,2052,1859
785,738,FLOWER MOUND,MUNICIPAL,C,TARRANT,Y,TAWAKONI LAKE/RESERVOIR,8,7,7,7,6,5
786,416,FLOYDADA,MUNICIPAL,O,FLOYD,N,MACKENZIE LAKE/RESERVOIR,49,49,49,49,49,49
786,476,FLOYDADA,MUNICIPAL,O,FLOYD,N,OGALLALA AQUIFER | FLOYD,696,693,685,657,623,616
787,810,FOREST HILL,MUNICIPAL,C,TARRANT,N,TRWD LAKE/RESERVOIR SYSTEM,1351,1114,990,1048,1219,1459
788,149,FORNEY LAKE WSC,MUNICIPAL,C,KAUFMAN,Y,CHAPMAN/COOPER LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,89,97,102,111,170,222
788,149,FORNEY LAKE WSC,MUNICIPAL,C,ROCKWALL,Y,CHAPMAN/COOPER LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,9,9,10,10,11,12
788,279,FORNEY LAKE WSC,MUNICIPAL,C,KAUFMAN,Y,FORK LAKE/RESERVOIR,46,0,0,0,0,0
788,279,FORNEY LAKE WSC,MUNICIPAL,C,ROCKWALL,Y,FORK LAKE/RESERVOIR,4,0,0,0,0,0
788,390,FORNEY LAKE WSC,MUNICIPAL,C,KAUFMAN,Y,TRINITY INDIRECT REUSE,207,282,351,434,711,963
788,390,FORNEY LAKE WSC,MUNICIPAL,C,ROCKWALL,Y,TRINITY INDIRECT REUSE,20,27,33,40,47,51
788,403,FORNEY LAKE WSC,MUNICIPAL,C,KAUFMAN,Y,LAVON LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,189,203,215,231,353,461
788,403,FORNEY LAKE WSC,MUNICIPAL,C,ROCKWALL,Y,LAVON LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,18,19,20,22,23,24
788,738,FORNEY LAKE WSC,MUNICIPAL,C,KAUFMAN,Y,TAWAKONI LAKE/RESERVOIR,69,26,28,30,47,62
788,738,FORNEY LAKE WSC,MUNICIPAL,C,ROCKWALL,Y,TAWAKONI LAKE/RESERVOIR,7,3,3,3,3,3
