EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2020,N2030,N2040,N2050,N2060,N2070
103,NORTH ALAMO WSC,MUNICIPAL,M,HIDALGO,Y,1060,6197,11494,16918,22445,27865
103,NORTH ALAMO WSC,MUNICIPAL,M,WILLACY,Y,44,231,397,554,704,844
106,NORTH HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,38096,61780,76780,81777,86599,91282
107,NORTH RICHLAND HILLS,MUNICIPAL,C,TARRANT,N,7090,7159,6863,6965,7135,7447
111,ODESSA,MUNICIPAL,F,ECTOR,Y,9759,6292,8474,10907,13565,16316
111,ODESSA,MUNICIPAL,F,MIDLAND,Y,191,137,198,268,345,428
115,PARIS,MUNICIPAL,D,LAMAR,N,0,0,0,0,0,0
117,PASADENA,MUNICIPAL,H,HARRIS,N,0,0,0,0,0,0
118,PORT ARTHUR,MUNICIPAL,I,JEFFERSON,Y,0,0,0,0,0,0
118,PORT ARTHUR,MUNICIPAL,I,ORANGE,Y,0,0,0,0,0,0
121,ROCKETT SUD,MUNICIPAL,C,DALLAS,Y,0,47,127,216,322,425
121,ROCKETT SUD,MUNICIPAL,C,ELLIS,Y,0,989,2237,3522,5473,7435
122,ROCKWALL,MUNICIPAL,C,ROCKWALL,N,700,2586,3976,5371,7115,9273
123,ROUND ROCK,MUNICIPAL,G,WILLIAMSON,Y,0,5881,13902,24026,34609,45767
123,ROUND ROCK,MUNICIPAL,K,TRAVIS,Y,0,60,126,202,265,323
125,SAN ANGELO,MUNICIPAL,F,TOM GREEN,N,9250,11156,12167,13397,14870,16462
126,SAN ANTONIO,MUNICIPAL,L,BEXAR,Y,47661,66591,86297,109901,133319,155087
126,SAN ANTONIO,MUNICIPAL,L,MEDINA,Y,3,4,5,8,9,12
129,SEGUIN,MUNICIPAL,L,GUADALUPE,N,0,0,0,0,0,0
130,SEAGOVILLE,MUNICIPAL,C,DALLAS,Y,830,1158,1540,1960,2546,2773
130,SEAGOVILLE,MUNICIPAL,C,KAUFMAN,Y,2,2,3,4,6,8
131,SHARYLAND WSC,MUNICIPAL,M,HIDALGO,N,3041,4737,6475,8267,10109,11911
